country,region
Mongolia,Eastern Asia
Montenegro,Southern Europe
Montserrat,Caribbean
Morocco,Northern Africa
Mozambique,Eastern Africa
Myanmar,Southeast Asia
Namibia,Southern Africa
Nauru,Micronesia
Nepal,Southern Asia
Netherlands,Western Europe
New Caledonia,Melanesia
New Zealand,Australia and New Zealand
Nicaragua,Central America
Niger,Western Africa
Nigeria,Western Africa
Niue,Polynesia
Norfolk Island,Australia and New Zealand
North Macedonia,Southern Europe
Northern Mariana Islands,Micronesia
Norway,Northern Europe
Oman,Western Asia
Pakistan,Southern Asia
Palau,Micronesia
Panama,Central America
Papua New Guinea,Melanesia
Paraguay,South America
Peru,South America
Philippines,Southeast Asia
Pitcairn,Polynesia
Poland,Eastern Europe
Portugal,Southern Europe
Puerto Rico,Caribbean
Qatar,Western Asia
Korea,Eastern Asia
Republic of Moldova,Eastern Europe
Réunion,Eastern Africa
Romania,Eastern Europe
Russia,Eastern Europe
Rwanda,Eastern Africa
Saint Barthélemy,Caribbean
Saint Helena,Western Africa
Saint Kitts and Nevis,Caribbean
Saint Lucia,Caribbean
Saint Martin (French Part),Caribbean
Saint Pierre and Miquelon,Northern America
Saint Vincent and the Grenadines,Caribbean
Samoa,Polynesia
San Marino,Southern Europe
Sao Tome and Principe,Middle Africa
Sark,Northern Europe
Saudi Arabia,Western Asia
Senegal,Western Africa
Serbia,Southern Europe
Seychelles,Eastern Africa
Sierra Leone,Western Africa
Singapore,Southeast Asia
Sint Maarten (Dutch part),Caribbean
Slovakia,Eastern Europe
Slovenia,Southern Europe
Solomon Islands,Melanesia
Somalia,Eastern Africa
South Africa,Southern Africa
South Georgia and the South Sandwich Islands,South America
South Sudan,Eastern Africa
Spain,Southern Europe
Sri Lanka,Southern Asia
State of Palestine,Western Asia
Sudan,Northern Africa
Suriname,South America
Svalbard and Jan Mayen Islands,Northern Europe
Sweden,Northern Europe
Switzerland,Western Europe
Syrian Arab Republic,Western Asia
Tajikistan,Central Asia
Taiwan,Eastern Asia
Thailand,Southeast Asia
Timor-Leste,Southeast Asia
Togo,Western Africa
Tokelau,Polynesia
Tonga,Polynesia
Trinidad and Tobago,Caribbean
Tunisia,Northern Africa
Turkey,Western Asia
Turkmenistan,Central Asia
Turks and Caicos Islands,Caribbean
Tuvalu,Polynesia
Uganda,Eastern Africa
Ukraine,Eastern Europe
UAE,Western Asia
UK,Northern Europe
Tanzania,Eastern Africa
United States Minor Outlying Islands,Micronesia
USA,Northern America
United States Virgin Islands,Caribbean
Uruguay,South America
Uzbekistan,Central Asia
Vanuatu,Melanesia
Venezuela,South America
Vietnam,Southeast Asia
Wallis and Futuna Islands,Polynesia
Western Sahara,Northern Africa
Yemen,Western Asia
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
